description|labelGeneric
Laurette baise la main de sa mère, et sort.|interaction
Elle sort.|exit
Elles sortent.|exit
Elle sort.|exit
Elle sort.|exit
Elle sort.|exit
Elle veut sortir.|exit
Elle sort.|exit
Elle se jette à genoux.|action
Elle sort avec Lisette.|exit
Ici un grand silence.|delivery
Après un silence.|delivery
Justine sort.|exit
Elle sort.|exit
Un long silence.|delivery
Toutes les jeunes filles rient, à l'exception de Justine.|delivery
Les jeunes filles recommencent à rire.|delivery
Elle l'embrasse.|interaction
Elles retournent à leur place.|action
Toutes les jeunes filles se mettent à rire.|delivery
Elles tirent leurs mouchoirs.|object
Toutes les jeunes filles se lèvent.|action
Justine sort.|exit
Annette et Marthe lui apportent un carton.|object
Elle lui présente un chapeau garni de fleurs et de plumes.|action
Elle va voir.|action
Elle sort.|exit
Les jeunes filles viennent toutes auprès d'elle.|movement
Elle l'embrasse ; Isabelle lui baise la main.|interaction
Elle l'embrasse encore.|interaction
Elle lui donne la bourse.|object
Isabelle et Annette sortent.|exit
Joséphine et Marthe sortent.|exit
Le Théâtre représente un Salon, dans le fond duquel on voit une grande porte de glace donnant sur une terrasse.|setting
Au chevalier.|toward
Elle sort.|exit
Ils sont tous en habits du matin.|object
À part.|aparte
En montrant Mélite.|action
Elle chante.|delivery
Tout le monde sort. Aglaé reste un peu derrière avec le Chevalier. Elle lui dit :|exit
Ils sortent.|exit
Au laquais.|toward
Le Laquais découvre une robe garnie de fleurs.|action
Elle sort.|exit
Haut.|delivery
Elle sort.|exit
Il sort.|exit
Elle tombe à ses pieds.|action
Elle l'embrasse.|interaction
Elles sortent.|exit
Aglaé s'avance.|movement
Elle sort.|exit
Elles s'asseyent l'une et l'autre.|action
Haut.|delivery
À part.|aparte
Haut.|delivery
Il change de place, et Célanie se trouve entre eux deux.|setting
Haut.|delivery
Elle sort.|exit
Il sort.|exit
Haut.|delivery
Elle sort.|exit
Elle sort.|exit
Il sort.|exit
Il sort.|exit
Émilie continue.|delivery
Elle sort.|exit
Aglaé en pleurs, court se précipiter aux genoux de sa mère, qui la relève avec sévérité.|delivery
Elle veut sortir.|exit
Elle sort.|exit
À Aglaé.|toward
À Aglaé.|toward
À Mélite.|toward
Avec ironie.|delivery
À Émilie.|toward
Elle sort.|exit
Mélite sort.|exit
Il sort.|exit
Elle sort.|exit
Haut.|delivery
Elle sort.|exit
Haut.|delivery
À part, en s'en allant.|aparte
Il sort.|exit
Il lit.|action
Il lit.|action
Il sort.|exit
Elle se remet à écrire, en disant :|action
Haut.|delivery
Elle veut sortir.|movement
Elle veut sortir.|exit
À Mélite.|toward
À Émilie et au Marquis.|toward
Au Marquis.|toward
Sophar rentre dans la maison.|exit
Il va au devant de Tobie.|movement
Elle sort.|exit
Il sort.|exit
On entend un grand bruit du côté de la maison.|narration
Il se heurte contre un arbre.|aggression
Il fait quelques pas.|movement
Les trois prétendantes doivent être vêtues de blanc|object
Elles sortent.|exit
Elle crie :|delivery
Elle sort.|exit
Il lit.|action
Il regarde à sa montre.|action
Il lui prend la main.|object
Madame Dumond et le prieur sortent. Hélène va leur ouvrir la porte, et leur fait plusieurs révérences, que Madame Dumond lui rend après l'avoir embrassée. Pendant ce temps Monique reste seule sur le devant du théâtre.|narration
Elles sortent.|exit
Elle crie de toute sa force.|delivery
À part.|aparte
D'un ton sévère.|delivery
Hélène, se soulevant.|action
Elle retombe.|action
Elle sort.|exit
Elle sort.|exit
On entend appeler derrière le théâtre.|action
Haut.|delivery
Monique et Geneviève l'embrassent.|interaction
On entend une musique champêtre dans le lointain.|music
Il lui donnent le bras. Le seigneur, le prieur et le bailli s'avancent.|interaction
Il s'approche d'elle et lui présente la main ; Hélène fait la révérence, et s'appuie sur son bras.|movement
Le Seigneur, conduisant la rosière passe devant ; ensuite Monique, soutenue par Geneviève, Basile et Thérèse. Le prieur et le bailli vont sur la même ligne ; les jeunes filles après ; les curieux, les dames étrangères et les ménétriers ferment la marche. Aussitôt que la marche commence, les ménétriers jouent un air champêtre. Madame Dumond et Mimi restent les dernières. Tout le monde sort, à l'exception de Madame Dumond et de Mimi.|narration
Elles sortent.|exit
Il s'avance vers Booz.|movement
Il fait un mouvement pour s'éloigner.|movement
Jéphoné s'éloigne.|movement
À part.|aparte
Il sort.|exit
Haut.|delivery
À part.|aparte
Il sort.|exit
Il s'approche.|movement
Elle se rapproche de Jéphoné.|movement
Il sort.|exit
Elle fait quelques pas pour s'en aller.|movement
Elles sortent.|exit
Il sort.|exit
À part.|aparte
Il sort.|exit
Il sort.|exit
Elle tombe aux genoux de Noémi.|action
Elle élève les mains vers le ciel.|action
L'Abbé sort.|exit
Haut.|delivery
Elle sort.|exit
La Marquise arrive.|entrance
Elle veut sortir.|exit
Elle sort.|exit
Il sort.|exit
Elle s'assied.|action
Elle tombe la tête appuyée sur ses mains.|action
Il lit.|action
Elle se lève.|action
Ils sortent.|exit
Elle sort.|exit
Victoire sort.|exit
Elle sort.|exit
Elle s'interrompt.|delivery
L'Abbé amène plusieurs domestiques qui s'empressent.|interaction
Le Commandeur, l'Abbé, l'embrassent ; Victoire lui baise les mains.|interaction
Elle la prend.|object
Ils sortent.|exit
Haut.|delivery
La veuve et l'enfant arrivent auprès de la cabane.|setting
Elle l'embrasse.|interaction
Il s'appuie contre un arbre.|action
Il entre dans la cabane.|exit
Elle écoute.|action
Elle le regarde fixement.|action
Le Théâtre représente un salon.|setting
Il sort.|exit
Il lit pendant que Roussel répond.|action
Roussel lui donne une tabatière.|object
Il sort.|exit
Il sort.|exit
Ils sortent.|exit
Il sort.|exit
L'Épine sort.|exit
À part.|aparte
Il s'éloigne et considère les tableaux, envaflectdnt toutes les manières d 'un connaisseur.|action
Le Chevalier sort.|exit
Haut.|delivery
Haut.|delivery
Lui rendant la boîte.|object
Ils sortent.|exit
Regardant les fleurs.|action
Il s'assoit.|action
Il se lève.|action
Il ouvre son portefeuille.|action
Il s'asseoit de nouveau.|action
Il regarde sa montre.|action
Reprenant.|delivery
À voix basse.|delivery
Il frappe son chapeau sur un meuble.|aggression
Il ajuste son col.|object
À part.|aparte
À Arthur.|toward
Elle s'assoit.|action
À part.|aparte
Au public.|toward
À part.|aparte
À mademoiselle Dupont.|toward
Au public.|toward
Poursuivant.|delivery
À part.|aparte
À part.|aparte
À mademoiselle Dupont.|toward
À part.|aparte
À part.|aparte
Elle l'ouvre.|action
À Mademoiselle Dupont.|toward
À part.|aparte
Avec emphase.|delivery
À part.|aparte
Haut.|delivery
Au public.|toward
Il va pour sortir, puis se ravise.|exit
Diane paraît dans son char, et la Nuit dans le sien avec le choeur des Amours qui chantent cet air.|entrance
Elle parle à la Nuit.|toward
Elle s'en va.|exit
Darie s'en va.|exit
Il parle aux Satrapes.|toward
Elle s'adresse à Ninus.|toward
On emporte Sosarme.|interaction
Elle se veut jeter à genoux.|action
Il la pousse rudement.|interaction
Il met la main sur la garde de son épée.|aggression
Il met la main à l'épée.|aggression
Il dit bas ce vers.|delivery
Il met la main à l'épée.|aggression
Bérénice se jette à ses pieds.|action
Elle se lève.|action
Il ne dit que les deux premiers mots hautement.|delivery
Elle tire un poignard.|aggression
Il se jette aux pieds de Statira.|action
Ramassant la casaque.|object
À Jodelet.|toward
Il porte sans y penser un coup dans l'estomac de Phénice, pour montrer comme il fit.|aggression
Il laisse tomber son épée.|object
Chanson.|music
Il montre le Campagnard.|action
À Bazile.|toward
SONNET.|music
Laurette paraît.|entrance
Au Compère.|toward
Polichinelle, continue à demander à Mademoiselle plusieurs sortes de drap, et elle continue à lui répondre :|toward
Janbroche revient de son voyage, et demande au compère ce qui s'est passé chez lui durant son absence.|entrance
Il s'éloigne.|movement
Le Président s'assied au Deux.|action
Les gitanes s'en vont, chassées par Victor.|movement
Elle a assemblé dans le petit sac tous les bijoux.|object
La dame s'éloigne.|movement
Elle s'éloigne ostensiblement.|movement
Elle s'en va définitivement.|movement
Elle revient sur ses pas.|movement
Elle redonne le sac au Président.|object
Entrent également Bogar, Saint-Ysles.|entrance
Bruit de chute.|narration
Bruit 8ourd.|narration
Sons indistincts.|narration
Il s'accroche à un des rosiers de l'Ecole des Femmes.|interaction
Jouvet bouscule sans le vouloir Robineau.|interaction
Murmures chez les acteurs.|delivery
À Castel.|toward
Entrent Madeleine Ozeray et Raymone.|entrance
Il disparaît.|exit
Une cabane de Pécheurs. Orage au dehors.|setting
La fenêtre s'est ouverte brusquement.|action
Une tête de vieillard couronnée, à barbe ruisselante, est apparue dans l'encadrement, à la lueur d'un éclair.|entrance
Coup de tonnerre.|narration
Coup de tonnerre.|narration
Pas de coup de tonnerre.|narration
Il tire le verrou.|object
Auguste et Eugénie se retournent au fracas. Un chevalier en armure est sur le seuil.|exit
Eugénie revient avec son plat.|entrance
Elle l'évite d'un bond.|action
Elle disparaît dans la nuit.|exit
Eugénie sort.|exit
Auguste la rejoint.|movement
Le Chevalier soudain conquis ouvre ses bras.|action
Bruit à la porte de la cuisine.|narration
Elle disparaît.|exit
Le chevalier rentre, ruisselant.|entrance
Il s'étend dans le fauteuil.|action
Nouvelle apparition.|entrance
Une seconde Ondine s'est rangée près de l'autre.|movement
L'Ondine disparaît.|exit
Salle d'honneur dans le Palais du Roi.|setting
Le cheval de Troie entre. Les Pyramides se dressent.|setting
Vénus toute nue surgit près du chambellan.|entrance
Vénus a disparu.|exit
Tous rentrent derrière les colonnes.|entrance
Toutes les dames regardent soudain le visage du Chambellan.|action
Ils entrent d'un pas dégagé l'un du jardin, l'autre de la cour.|entrance
Ils sortent ensemble.|exit
Ils disparaissent.|exit
Elle va vers le poète qui se tenait à l'écart et qui vient au devant d'elle.|movement
Elle va à nouveau vers le poète qui lui aussi va vers elle.|movement
Elle revient près du chambellan.|movement
Hans paraît.|entrance
Rires.|delivery
Ondine s'est dirigée vers Bertha.|movement
Tous sortent moins la Reine et Ondine.|exit
SPECTACLE.|music
Auguste et Eugénie sont debout au fond de la salle. Des couronnes d'or semblent se poser sur leur tête, quand Ondine parle de leur royauté.|action
Le chevalier revient sur Ondine.|movement
Il sort. Tous les jets d'eau autour de la salle s'élèvent subitement.|exit
À un serviteur.|toward
Bertram surgit.|entrance
Il l'embrasse.|interaction
Les juges se sont levés.|action
Il désigne le roi des Ondines.|action
Un salon. Grande table au centre sur laquelle sont posés des albums des volumes, des brochures, etc., une carafe et un verre d'eau. À droite et à gauche, meubles et sièges de salon.|setting
Au lever de rideau, LE PROFESSEUR est assis devant la table et feuillette fiévreusement quelques pages volantes qu'il tient à la main. - Il demeure quelques instants sans parler, puis se lève avec une majestueuse lenteur, vient se placer devant la rampe et fait les saluts d'usage. - Il est ou tenue de soirée, cravate et gants blancs. Ton solennel et pédantesque. - Tête et voix de prud'homme.|narration
Il boit.|action
À une dame.|toward
Plus haut.|delivery
Il tire d'une poche de côté un petit volume qu'il pose sur la table.|action
Il tire de ses poches des ooeufs en buis de différentes dimensions et les aligne sur la table. Voix de charlatan.|action
Il en tire un énorme.|object
Autre plus énorme encore.|action
Geste de tirer la fil.|action
Il tire de ses poches des prospectus qu'il pose sur la table.|action
Nouveaux coups, frappés dans la coulisse.|action
Il tombe sur un genou. Pose dramatique.|action
Il sort a reculons en saluant à droite et à gauche et disparaît.|exit
Elle embrasse Émilie.|interaction
Elle sépare les deux amies.|interaction
Elle s'assied.|action
Elle regarde du côté de la porte.|action
On embrasse Clémentine.|interaction
Elle remet la lettre à Philomène.|object
Elle remet la lettre a Julie.|object
Elle rend la lettre a Clémentine.|object
On sonne.|action
À Honorée.|toward
Elle sort.|exit
Les autres en font autant.|action
On sonne.|delivery
Elle sort.|exit
Aux choristes.|toward
Aux membres d'honneur.|toward
On commence à chanter dans la pièce voisine :|delivery
ANNA et EUGÉNIE écoutent chanter. Vers la fin du morceau, neuf choristes arrivent sur la scène, à la suite de leur maîtresse de choeur.|action
À Louise.|toward
Eugénie tombe a genoux.|action
On frappe à la porte.|action
On se relève.|action
L'ange couronne Eugénie.|object
L'on se met a genoux.|action
Le choeur lui répond, en reprenant toujours le dernier vers.|delivery
ApercevantJulienne.|action
À Juliette.|toward
À Fany.|toward
À Juliette.|toward
Aux Choristes.|toward
Le choeur arrive sur la scène.|entrance
On chante un cantique.|delivery
Aux Choristes.|toward
Fany sort.|exit
On chante dans la pièce voisine.|delivery
Le choeur arrive en chaulant.|entrance
Le chant est interrompu.|delivery
Aux mondaines.|toward
À Adeline.|toward
Les choristes se retirent.|exit
Rosa restée en arrière lie conversation avec Lisette.|setting
Elle lui passe une chaîne et un bracelet.|object
Elle entraine Rosa.|interaction
Elle sort avec Rosa.|exit
Deux choristes se détachent.|setting
Rosa se relève.|action
Elle remet ses bijoux à la Présidente.|object
On chante un morceau brillant.|delivery
Le Théâtre représente Le cabinet de Géralde ; sur La gauche est une table, couverte de papiers en désordre ; sur sa droite, un clavecin ; une bibliothèque, dans Le fond.|setting
AIR.|music
Elle sort.|exit
ROMANCE.|music
TRIO.|music
À sa femme :|toward
Madame Géralde et Célestine sortent.|exit
Il va vivement à sa table.|movement
Il se met en colère.|delivery
Il cherche.|action
Elle aperçoit Mainfroi.|action
Elle sort.|exit
À part.|aparte
Il rit.|delivery
À part.|aparte
Mainfroi sort.|exit
COUPLETS.|music
Célestine l'embrasse.|interaction
Elle sort.|exit
Il compose.|action
Il cherche.|action
Il écrit.|action
Il compose.|action
Elle va sortir.|movement
Ils s'embrassent.|interaction
Elle sort.|exit
Il écrit.|action
AIR.|music
À part.|aparte
À Madame Géralde.|toward
AIR.|music
À Géralde.|toward
À Alexis.|toward
À Géralde.|toward
Le Théâtre représente un salon meublé.|setting
Haut.|delivery
On entend du bruit.|narration
Chérubin et Fanchette se regardent pendant le dialogue suivant, et forment une scène muette et intéressante.|action
Haut.|delivery
Il sen va.|exit
À Chérubin.|toward
Ils sortent.|exit
À Fanchette.|toward
Haut.|delivery
[À] Suzanne.|toward
La Fleur sort.|exit
À sa Future.|toward
À la Comtesse.|toward
Haut à Fanchette.|toward
À Nicolas.|toward
S'approchant de sa Future.|movement
Au Jardinier.|toward
Elle sort avec Antonio.|exit
Il lui donne de l'argent.|object
Il sort.|exit
Ils sortent.|exit
Il sort.|exit
L'apercevant.|action
À part.|aparte
Il sort.|exit
À Fanchette.|toward
À Basile.|toward
Haut.|delivery
À part.|aparte
Fanchette sort.|exit
Regardant au fond.|action
À Basile.|toward
Ils sortent.|exit
À sa Camériste.|toward
Elle sort.|exit
Elle sort.|exit
Il sort.|exit
Il sort.|exit
À Nicolas.|toward
Il sort.|exit
À Nicolas.|toward
Il sort.|exit
Haut.|delivery
Haut.|delivery
Au Notaire.|toward
Il signe, ainsi que Nicolas et Fanchette. Six jeunes filles apportent un bouquet et un guirlande. Fanchette se met à genoux ; deux jeunes filles chantent un duo du temps, tandis qu'on place la couronne sur la tête de la mariée ; la Comtesse et le Comte la relèvent, la prennent chacun par une main et sortent avec elle, tout le monde les suit.|narration
Il s'approche des Musiciens et leur dit :|object
Il s'approche de plus près.|movement
Haut.|delivery
Elle sort avec vivacité les Paysans et les Paysannes la suivent.|exit
À Figaro.|toward
Haut.|delivery
À Figaro.|toward
À part.|aparte
Il sort.|exit
Il sort.|exit
À Nicolas.|toward
À Basile, en le pinçant par la manche.|toward
À part.|aparte
À Brid'oison.|toward
Il sort avec Nicolas.|exit
Basile sort.|exit
Il va dans le cabinet.|setting
À Nicolas.|toward
À part.|aparte
Elle va pour s'en aller.|movement
On entend un tumulte éloigné.|narration
Le bruit redouble.|narration
Fanchette, le relève.|action
Il sort.|exit
Ouvrant la cassette.|action
À Chérubin.|toward
Au Public.|toward
Sur l'Air de celui de la Folle Journée.|music
Premier Couplet.|music
Second Couplet.|music
Troisième Couplet.|music
Quatrième Couplet.|music
Cinquième Couplet.|music
Sixième Couplet.|music
Septième Couplet.|music
Huitième Couplet.|music
Neuvième et dernier Couplet.|music
Le théâtre représente un rivage d'une île déserte, bordée et environnée de rochers escarpés, à travers lesquels on aperçoit la pleine mer dans le lointain. Sur un des côtés en avant est l'ouverture d'une cabane entourée d'arbres fruitiers du climat : l'autre côté est rempli par l'entrée d'une forêt qui paraît impénétrable. Au moment où le rideau lève, une tempête agite les flots : on voit un navire qui vient se briser sur la côte. Les vents s'apaisent et la mer se calme peu à peu.|setting
À Valére.|toward
Elle appelle.|delivery
Elle sort.|exit
Aux Esclaves.|toward
Aux Indiens.|toward
À Valère et à Sophie.|toward
Il sort.|exit
Avec gaieté.|delivery
À part.|aparte
À Valère.|toward
Aux Esclaves.|toward
À part.|aparte
Aux Nègres.|toward
Le théâtre change et représente un salon de Compagnie meublé à l'Indienne.|setting
Ils sortent.|exit
À part.|aparte
Haut.|delivery
À part.|aparte
À Sophie.|toward
À Sophie.|toward
Elle lui baise les mains.|interaction
Haut.|delivery
On doit entendre la générale dans le lointain.|narration
À part.|aparte
Haut.|delivery
Le théâtre représente un lieu sauvage ou l'on voit deux collines en pointes, et bordées de touffes d'arbrisseaux qui s'étendent à perte de vue. Sur un des côtés est un rocher escarpé, dont le sommet est une plate-forme, dont la base est perpendiculaire sur le bord de l'avant-scène. On y monte du côté d'une des collines de manière que les Spectateurs y peuvent voir arriver tous les personnages, On voit deçà et delà quelques cabanes de Nègres éparses.|setting
Il embrasse Valère.|interaction
À Valère.|toward
Au Major.|toward
Aux Esclaves.|toward
Les Esclaves n'écoutent que Valère.|action
Il ouvre sa veste.|object
Aux soldats.|toward
Au Juge.|toward
Les esclaves se rangent autour d'eux, et forment un rempart, les soldats et grenadiers s'en approchent avec la baïonnette.|movement
Au Juge.|toward
Aux étrangers et aux esclaves.|toward
À Sophie.|toward
Sophie, Zamor et Mirza sortent avec quelques esclaves.|exit
Valère sort.|exit
Il sort.|exit
À l'Indien.|toward
Les Esclaves armés sont remplacés par les esclaves sans armes.|aggression
Au Juge.|toward
À un vieillard et une vieille esclave.|toward
Aux Esclaves de son sexe.|toward
Aux Esclaves, particulièrement.|toward
Il se jette à ses pieds.|action
Il lui prend les mains.|interaction
À son époux.|toward
À Madame de Saint-Frémont.|toward
À Sophie.|toward
À part.|aparte
Haut.|delivery
Haut.|delivery
Elle tombe dans les bras des Soldats.|action
Tous se mettent à genoux, excepté le Juge et les Soldats.|action
À Valère.|toward
Le théâtre représente un Salon à l'antique, richement meublé, plusieurs portraits, entre autres Monsieur et Madame de l'Enclos, père et mère de Ninon ; les Bustes de plusieurs Grands Hommes, sur des piédestaux ; plusieurs instruments de musique, comme Clavecin, Luth, et autres.|setting
Il se frotte les yeux.|interaction
Haut.|delivery
Il sort en jetant sur la table le papier qu'il a écrit.|exit
Elle lit.|action
Il lit.|action
À Ninon.|toward
Montrant son coeur|action
Parlant à Ninon.|toward
Il lit.|action
Elle sort.|exit
Haut.|delivery
À part.|aparte
Haut.|delivery
À part.|aparte
À Molière.|toward
À Chapelle.|toward
Il sort.|exit
À la Châtre.|toward
Ils sortent.|exit
Répétant.|delivery
À Francisque.|toward
À tous.|toward
Le théâtre représente un lieu champêtre ; dans le lointain un coteau, et une femme au bas. On voit dans le fond une prairie, avec un parc de moutons. On voit la brouette du Berger, sur un des côtés du Théâtre ; de l'autre côté en face, est la cabane de la Bergère. Une fontaine coule à côté de la cabane ; plusieurs arbres forment un couvert ; et une butte de gazon au-dessous, forme un siège.|setting
On entend une cloche derrière le théâtre.|narration
Des Yveteaux habillé en Berger, la houlette à la main, la panetière au côté, et le chapeau garni de rubans, parmi lesquels on distingue une fontange jaune, que lui avait donnée Ninon. La Dupuis habillée en Bergère élégante, et tenant une guitare. Des Yveteaux conduit un agneau, et regarde son troupeau qui traverse le fond du Théâtre.|object
Il chante la Romance connue.|delivery
À la Dupuis.|toward
À part.|aparte
Haut.|delivery
À part.|aparte
Tombant aux genoux de Mathurin.|action
En sortant.|exit
Il va pour se baisser, et tombe dans la fontaine.|action
À part.|aparte
On entend un grand bruit.|narration
À Des Yveteaux.|toward
À la Dupuis.|toward
À la Dupuis.|toward
S'apercevant que Mathurin la regarde avec attention.|action
Regardant.|action
À part.|aparte
Tous les Acteurs se rangent sur les deux côtés du Théâtre. Le Grand Condé est dans le milieu, au fond du théâtre.|setting
À Ninon.|toward
À Mathurin.|toward
Aux Paysans.|toward
Le Grand Condé écoute.|action
À Ninon et à Molière.|toward
Au Comte de Fiesque.|toward
À Ninon.|toward
À Des Yveteaux.|toward
En l'embrassant.|interaction
Le théâtre représente un Salon.|setting
Aux porteurs.|toward
Les porteurs se retirent.|exit
Ils sortent.|exit
Scarron continue d'écrire.|action
Elle sort.|exit
Francisque, aidé de Mademoiselle le Roi, rangent des fauteuils sur le devant de la scène en face de Scarron.|action
À Ninon.|toward
En embrassant Scarron.|interaction
Regardant la compagnie.|action
À part.|aparte
À part.|aparte
En le considérant.|action
À part.|aparte
Elle sort.|exit
Il sort.|exit
À Molière.|toward
Il sort.|exit
Francisque sort.|exit
Elles sortent avec Monsieur Mignard.|exit
Apercevant le Comte.|action
Il sort.|exit
Il sort.|exit
Ils restent tous deux un instant dans le silence.|delivery
À part.|aparte
Il sort.|exit
Elle l'embrasse.|interaction
Au Comte.|toward
Le théâtre change et représente un superbe salon à colonne et à pilastre, sur lequel sont peints les Amours de Psyché. Un superbe trône dans un des côtés du théâtre, et en face une Tribune pour placer les amis de Ninon. Le trône est soutenu par la Victoire et la Renommée. Scarron assis sur une espèce de piédestal à côté du trône, en héraut d'armes. Madame Scarron est de l'autre côté, avec une couronne de laurier, habillée en Déesse de l'Amitié. Dans le fond est une troupe de danseurs et de danseuses avec des guirlandes entrelacées dans leurs bras, et habillées à la Suédoise.|setting
Regardant Scarron.|action
Elle lui met la couronne sur la tête.|object
CHOEURS sur l'amitié qui restent à faire, et dont je ne doute pas qu'en faveur du sujet, un de nos bons Poètes se charge.|music
BALLETS.|music
Chaconne dans le grand genre, une troupe de Bohémiens. Le petit homme noir, connu dans l'Histoire de Madame Scarron, dira à chacun sa bonne aventure, par des couplets analogues à leur caractère. Ballet de Bohémiens, troupe de Soldats, qui peindra l'Histoire du Grand-Condé, quand il reprit les armes pour la France ; combats, victoire qu'il remporte sur l'ennemi. Tous se mettent à genoux devant le Trône. Les Soldats renversent leurs armes devant le Grand Condé, et lui présentent le Pavillon de l'armée ennemie ; pendant ce temps, le canon, les timbales, les trompettes, doivent former une musique martiale. Elle finit, piano, piano, au point qu'on doit entendre de loin un chalumeau, qui doit faire contraste avec cette grande Musique.|music
À la Reine.|toward
Air NOTÉ.|music
Le Choeur de l'Amitié reprend jusqu'à ce qu'il n'y ait plus personne sur le théâtre.|delivery
Mademoiselle le Roi en pleurant.|delivery
Il sort.|exit
Lisant.|action
Elle lit.|action
Regardant sa montre.|action
On entend frapper.|action
Mademoiselle le Roi sort.|exit
Elle sort.|exit
À Ninon.|toward
Au Chevalier.|toward
Haut.|delivery
Haut.|delivery
Haut.|delivery
À demi voix.|delivery
Il sort.|exit
À Mademoiselle de Châteauroux.|toward
À Mademoiselle de Châteauroux.|toward
Elle sort avec Molière etc.|exit
À part.|aparte
Saint-Évremond sort.|exit
Haut.|delivery
Molière écoutant.|action
Haut.|delivery
S'en allant.|exit
Elle sort.|exit
Ils tombent aux genoux de Monsieur de Châteauroux.|action
Air : Du Noël Suisse.|music
Air : De Joconde.|music
Air: Du pas redoublé de l'infanterie.|music
Air : Tout roule aujourd'hui.|music
Air: Pour la Baronne.|music
À Lysander.|toward
Air : Souvenez-vous en.|music
Air : Des trembleurs.|music
Air : Des drapeaux.|music
Haut.|delivery
AIR : Nous jouissons dans nos hameaux.|music
AIR : Quel désespoir.|music
Du Duo des deux Avares.|music
AIR : Belle Raimonde.|music
AIR : On compterait les diamants.|music
AIR : Du Vaudeville des chasseurs.|music
Ils sortent.|exit
AIR : De Joconde.|music
AIR : Ah ! vous dirai-je maman.|music
AIR : Faut d'la vertu.|music
AIR : Quand on est mort c'est pour longtemps.|music
AIR : Chantons Laetamini.|music
À Agis.|toward
AIR : Regardez ces traits.|music
AIR : C'est la petite Thèrèse.|music
AIR : Des portraits à la mode.|music
AIR : Va-t'en voir s'ils viennent.|music
AIR : Va-t'en voir s'ils viennent.|music
AIR : Or écoutez petits et grands.|music
AIR : Du Vaudeville de la Rosière.|music
AIR : De la fanfare de Saint-Cloud.|music
AIR : Un Cordelier dit à Lisette.|music
Même air.|music
Même air.|music
AIR : Allons à la Guinguette.|music
Ils sortent.|exit
AIR : Je me suis levé par un matinet|music
AIR : Des simples jeux de l'enfance.|music
AIR : Vous l'ordonnez.|music
AIR : Monsieur le Prévôt des Marchands.|music
AIR: Philis demande son portrait.|music
AIR : Tu croyais en aimant Colette.|music
AIR : Du petit mot pour rire.|music
À Emphasés.|toward
AIR : Réveillez-vous, belle endormie.|music
AIR : Du Vaudeville du Roi et le Fermier.|music
Même air.|music
AIR : On ne peut aimer qu'une fois.|music
Suite de l'air.|music
AIR : Du Port Mahon.|music
AIR : Guillot un jour trouva Lisette.|music
AIR : Jardinier ne vois-tu pas.|music
AIR : Que ne suis-je la fougère.|music
En montrant le Sénat.|action
AIR : De Zémire et Azor.|music
AIR : Au coin du feu.|music
AIR : Mes chers amis, pouvez -vous m' enseigner.|music
Même air.|music
AIR : On dit qu'à quinze ans.|music
AIR: Lison, jeune et timide.|music
AIR : Y a coups de pieds, etc.|music
AIR : Des Trembleurs.|music
AIR : Par pitié daigné vous rendre.|music
AIR : Venez vous de Chantilly.|music
AIR : Soeur Martine, soeur Martine.|music
Un cor finit l'air.|music
AIR : R' lantamplan tirelire.|music
AIR : Lison dormait.|music
AIR : Je voudrais bien détaler.|music
AIR : Où s'en vont ces gais Bergers.|music
AIR : Palsambleu, M. le Curé, etc|music
AIR : Du serin qui te fait envie.|music
On entend un air gai.|music
AIR : Que Pantin serait content.|music
AIR : Ton, humeur est Catherine.|music
AIR : Des paniers.|music
AIR: Lise voyait.|music
AIR : Sans cesse à la Ville, à ta Cour.|music
AIR : C'est la fille à Simonette.|music
Même air.|music
Haut.|delivery
On entend la voix de Jérôme qui appelle Babet.|delivery
Julien sort.|exit
Babet sort.|exit
On entend racler sur le violon.|music
Haut.|delivery
Ils se quittent.|exit
Haut.|delivery
Haut.|delivery
À part.|aparte
Haut.|delivery
À part.|aparte
Haut.|delivery
Haut.|delivery
À part.|aparte
Jérôme sort.|exit
Il s'en va très vite. Julien, après avoir pris l'écu et remercié de la tête, sort aussi sans rien dire.|exit
Il sort.|exit
Ils boivent.|action
Ils boivent.|action
Il tend son verre.|action
Il tend son verre.|action
Il regarde la bouteille qui n'est qu'à moitié.|action
Il sort.|exit
Il sort.|exit
Il sort.|exit
Il fouille dans sa ceinture.|action
À Monsieur le Bailli.|toward
