description|labelDraCor
Air nouveau.|title
Air|music
Regardant sa montre.|watch
Air du Dieu des bonnes gens.|title
bis.|bis
Il prend à gauche une perruque de jeune homme.|get
Il la met.|dress
Il l'ôte.|dress
Il la met.|dress
Otant sa perruque.|dress
Il la jette sur l'autre.|throw
Il va à la perruque du Président.|closer
Il prend la perruque à gauche.|get
Il tient la perruque.|get
Au public.|toward
Il met la perruque, puis, la robe de chambre du côté qui n'est pas noir.|dress
Air nouveau.|title
Il ôte la perruque et la robe de chambre en la retournant.|dress
Replaçant la perruque.|drop
Il ôte la perruque.|dress
Montrant une perruque chauve qu'il prend à gauche.|show
Il met la perruque.|dress
Prenant à droite une perruque très fournie.|get
Il met la robe de chambre du côté noir.|dress
Changeant de perruque.|dress
Il retrousse ses manches.|dress
Il s'assied.|sit
Air|title
Au public.|toward
Il place ses perruques sur le réchaud.|drop
Se levant.|stand
S'asseyant.|sit
Il va pour mettre le feu au charbon. On frappe.|knock
Il enlève le réchaud, le pose à droite, puis il ouvre. - Le valet entre, portant une tête à perruque coiffée et sur un pied.*|get
Au valet.|toward
Il la dépouille.|dress
S'arrêtant.|silence
Il lit.|read
Lisant.|read
Il regarde la tête.|watch
Air du commencement.|title
Au public.|toward
Le Théâtre représente un appartement d'Adélaïde.|decor
Montrant sa lettre.|show
Haut.|loud
La Fleur entre.|entrance
À La Fleur, qui se tient coi.|toward
À Adélaïde.|toward
À La Fleur.|toward
La Fleur sort.|exit
Justine sort.|exit
Il lui présente une lettre.|show
le Théâtre représente une Salle basse de la maison de Monsieur d'Armancé.|decor
Elle se lève.|stand
Revenant.|back
Revenant.|back
C revenant.|back
Claudine sort.|exit
Elle pleure.|cry
À Lucile, qui veut s'en aller.|toward
À Agathe.|toward
À Lucile.|toward
À Monsieur d'Armancé.|toward
À Monsieur d'Armancé.|toward
Monsieur d'Armancé sort.|exit
Le Théâtre représente l'appartement d'Eugénie.|decor
Haut.|loud
Haut.|loud
Haut.|loud
Mettant le portefeuille sur une table[.]|drop
Le Théâtre représente un salon à manger. L'action se passe sur les sept heures du soir.|decor
Le poussant dehors.|push
Il se lève ainsi que sa soeur.|stand
On entend au bruit.|noise
Elle s'occupe pendant cette scène à débarrasser la table.|decor
À Lucette.|toward
Il sort, ainsi que Madame Monval, mais du côté opposé.|exit
Colette sort.|exit
Avec joie.|happy
Montrant Alison.|show
À Alison.|toward
Le Théâtre représente un appartement de Monsieur Mondor.|decor
Il appelle.|call
À part.|aparte
Il lit.|read
Ses yeux se couvrent de larmes.|cry
Il pleure.|cry
Antoine le tire par son habit.|pull
Avec emportement.|anger
À part.|aparte
Il sort.|exit
Julien sort.|exit
Il s'assied sur le canapé.|sit
À Julien.|toward
Il sort avec Julien.|exit
Julien sort.|exit
À Antoine, qui veut parler.|toward
Le Théâtre représente un Cabinet de verdure, où aboutissent plusieurs allées de charmille ; sur le devant est un banc de gazon. Au fond, dans l'éloignement, on aperçoit le Château du Marquis.|decor
Il cherche dans ses poches.|search
Il sort.|exit
Jeannot s'assied.|sit
On entend crier de loin Ruflaut et Jeannot.|shout
En disant ces derniers mots, il entre sur la scène en tenant son fils au collet, et se jette aux pieds du Marquis.|entrance
Apostrophant son fils.|call
En montrant son Gouverneur.|show
Le petit Marquis sort.|exit
Le Théâtre représente une salle basse du Château de madame Dursan.|decor
Dursan s'avance lentement et paraît marcher avec peine : il a l'air pâle et malade : il parle languissamment : ses habits annoncent l'indigence.|closer
Haut.|loud
Dursan et Brunon se jettent à ses pieds.|kneel
Reprenant sa lecture.|read
Brunon rentre.|entrance
Elle se dispose à cacheter son paquet.|close
Elle achève de cacheter le paquet.|close
Brunon sort.|exit
Elle lui frappe sur l'épaule|hit
Approchant le petit Dursan.|closer
À Dursan.|toward
Pendant que Mademoiselle de Tervire embrasse avec transport Dursan, sa femme et leur fils.|kiss
Le Théâtre représente une chambre basse de la maison du Baron.|decor
Il va fermer soigneusement la porte.|close
Haut.|loud
Riant.|laugh
Feignant de s'en aller.|away
Tirant un papier.|get
Il sort.|exit
Le Baron est assis plongé dans la rêverie la plus profonde ; la Baronne entre avec le Président, qui lui donne la main. Le Baron ne les voit point entrer. La Baronne parle à son mari d'un ton aigre et dédaigneux, et en prend un doucereux lorsqu'elle adresse la parole au Président.|narration
Au Baron.|toward
Entre ses dents.|low
Au Baron.|toward
Au Baron.|toward
Au Président affectueusement.|toward
Au Baron.|toward
À son fils.|toward
Au Baron.|toward
À part.|aparte
D'un ton d'emphase.|emphasis
À part.|aparte
Haut, d'un ton bas et rampant.|loud
Le Théâtre représente une Étude de Procureur ; sur le devant est une table couverte de papiers, sur laquelle est une brochure ouverte.|decor
Il s'approche de la table et parcourt le livre sans s'asseoir.|closer
À part.|aparte
Haut.|loud
Il lui donne de l'argent.|give
Varanger rit.|laugh
Plumasseau se tient debout devant la table et la perce niaisement avec un poinçon.|stand
À Varanger.|toward
Il veut s'en aller.|away
Il lui ôte son manteau, et son chapeau et lui donne en place une vieille redingote et un mauvais chapeau.|dress
À Varanger.|toward
Varanger prend du papier.|get
Dictant.|loud
Il tire sa bourse.|get
Il appelle.|call
Apercevant Monsieur_le_Marquis.|watch
À part.|aparte
Haut.|loud
À part.|aparte
Haut.|loud
À Dubreuil.|toward
À Monsieur Brusquet.|toward
Elle s'approche du métier de tapisserie et travaille.|closer
Regardant Fanchon.|watch
Elle donne un papier.|give
Elle lit.|read
À Fanchon.|toward
À Victorine.|toward
Elle ouvre le carton et en tire les dentelles.|open
Elle renferme ses dentelles.|close
Elle fait mine de s'en aller.|away
À Julie.|toward
Au Facteur en le payant.|toward
Le Facteur s'en va.|exit
Elle sort.|exit
Les pleurs redoublent.|cry
Elle donne le mémoire à Nestorine qui le déchire sans regarder.|give
Haut.|loud
La Branche sort.|exit
Il sort.|exit
À Lucile.|toward
À Oronte.|toward
Elle se regarde avec complaisance dans le miroir et ajuste sa coiffure.|watch
Elle pleure.|cry
Elle sort.|exit
Elle tire du carton un bonnet.|get
Elle se met en devoir d'ôter celui qui est sur sa tête.|dress
On entend du bruit.|noise
Elle ôte promptement son bonnet.|dress
Elle ramasse le bonnet.|get
Elle veut prendre le bonnet.|get
Elle veut lui mettre le bonnet.|dress
À la Gouvernante.|toward
Cécile et Babet continuent de rire.|laugh
Elle sort avec sa soeur, en éclatant de rire.|exit
À sa fille.|toward
Le théâtre représente une salle basse de la maison de Monsieur Varseuil. On y voit une pendule, une montre d'or avec sa chaîne accrochée à la tapisserie, une table à quadrille sur laquelle est un petit métier de tapisserie, un sofa, une commode, etc. etc.|decor
Elle tire sa bourse.|get
Elle appelle.|call
Haut.|loud
À part.|aparte
Madame Varseuil sort.|exit
On entend tousser derrière le théâtre.|noise
Elle sort.|exit
À Minette.|toward
Elle tire de sa poche deux jeux de cartes complets.|get
Louison met la table au milieu du théâtre : Minette jette les cartes dessus ; elles se placent toutes quatre autour ; les deux soeurs sont vis à vis l'une de l'autre.|decor
Celle prend les cartes et sépare les jeux pour le vingt-et-un.|get
À Chonchon.|toward
À Louison.|toward
À part.|aparte
Haut.|loud
Elle distribue les cartes.|give
Elle montre les cartes et l'argent qui sont sur la table.|show
En montrant Louison.|show
À Henriette, sévèrement.|toward
À ses filles.|toward
À Madame Varseuil.|toward
Le théâtre représente une salle basse de la maison du Marquis.|decor
À part.|aparte
Haut.|loud
Mademoiselle Dubois sort sans rien dire.|exit
À Mademoiselle La Varenne.|toward
Il entend La Marquise.|listen
Il s'esquive.|away
Elle se jette sur la main de la Marquise et la baise avec transport.|kiss
Elle sonne.|ring
Elle continue de parler à Marianne.|toward
À Marianne.|toward
Elle sort.|exit
Haut.|loud
Elle tire de sa poche un coffre dans lequel est un écrin de diamants.|search
Elle ôte sa coiffure et lui met celle de dentelles.|dress
Elle lui attache les boucles d'oreille.|dress
Elle se dispose à lui mettre du rouge et des mouches.|dress
Elle pleure amèrement.|cry
Mademoiselle la Garenne sort.|exit
Marianne pendant ce temps a essuyé son rouge et veut s'attacher sa coiffure.|dress
Le Théâtre représente la chambre de l'Abbé Dursaint. On voit dans le fond une porte vitrée ; sur le devant du Théâtre est une table à tiroir, sur laquelle sont quelques livres, quelques papiers et une écritoire. L'action se passe sur les deux heures après-midi.|decor
Il le menace.|threat
Il montre une des poches du petit Dorville.|show
Il retourne à sa table.|back
Il s'assied.|sit
Il feuillette un oeuvre.|read
Il fait plusieurs tours de chambre d'un air désoeuvré, puis il revient à fa place.|walk
Il ouvre le tiroir.|open
Il ouvre le livre.|open
Il parcourt le livre.|read
Il s'approche de la porte.|closer
Il met le livre en travers de la vitre et s'assied auprès.|drop
Il met l'argent sur le livre.|drop
Villiers reparaît.|away
Villiers disparaît.|exit
Il crie de toutes ses forces.|shout
Il appelle.|call
Il prend un livre sur la table.|get
À Monsieur Dorville.|toward
À son fils.|toward
Le petit Dorville sort.|exit
Le Théâtre représente une chambre des plus délabrées ; on y voit quelques vieux meubles usés, un chevalet dressé, sur lequel est un tableau commencé, une table à écrire, etc. Dans le fond est une couchette sur laquelle est un enfant endormi ; elle est couverte d'une mauvaise tapisserie. L'action commence sur les trois heures après-midi.|decor
Madame Dormel file au grand rouet sur le devant du théâtre ; son fils est à côté d'elle et carde du coton. La lassitude le force d'interrompre de temps en temps son travail, qu'il reprend ensuite avec vivacité. Sa mère jette sur lui par intervalle des regards de pitié. Sophie tricote auprès de la couchette où est l'enfant ; elle est placée vis à vis de la porte, qu'elle regarde aussi de temps en temps d'un air triste et inquiet.|narration
À part.|aparte
Il dit ces dernières paroles en pleurant de toutes ses forces.|cry
À part.|aparte
Apercevant Sophie.|watch
Il s'approche d'elle familièrement.|closer
Il veut s'approcher d'elle.|closer
Elle se débarrasse de ses mains et se fauve.|escape
Il tire une bourse.|get
Haut.|loud
Elle va à la porte.|location
Ils s'approchent de Dormel, fils, et l'embrassent étroitement ; Sophie resserre sa ligature.|closer
Montrant le petit Dormel.|show
Il jette une bourse sur la table.|throw
Le Théâtre représente une salle basse de la maison de madame Beaupré.|decor
Madame Beaupré sort.|exit
À Magdelon.|toward
Elle pleure.|cry
Elles s'embrassent.|kiss
Apercevant Mathurine.|watch
Elle embrasse Henriette.|kiss
À Julie.|toward
Le théâtre représente l'appartement de Lisidor.|decor
Ils entrent sur la scène en conversant.|entrance
Il l'embrasse.|kiss
À demi-bas.|low
Éraste sort.|exit
Picard sort.|exit
Il lit bas.|low
Haut.|loud
Riant.|laugh
Isabelle sort.|exit
Le Théâtre représente un Salon de la maison de madame Villedieu.|decor
Thérèse et Manette sont à côté l'une de l'autre, Elles travaillent ensemble à garnir une robe. Thérèse est habillée très simplement, coiffée en grand bonnet, et paraît triste et rêveuse.|closer
Elle fond en larmes.|cry
En regardant sa soeur.|watch
Émilie sort.|exit
À Thérèse.|toward
Thérèse pleure.|cry
À Thérèse.|toward
Thérèse continue de pleurer.|cry
À Madame Villedieu.|toward
À Madame Villedieu.|toward
En prenant l'étoffe qui est entre les mains de Manette.|get
Elle sort.|exit
À Thérèse.|toward
Voyant Joseph.|watch
À part.|aparte
À Eumée.|toward
À Eurinome qui entre.|toward
Elle tire un poignard.|threat
À Mantricidus.|toward
À part.|aparte
Ismaël s'endort tout à fait.|sleep
Elle l'embrasse.|kiss
Elle porte la main sur son front.|touch
On entend une douce symphonie.|music
Elle se lève et court se précipiter aux pieds de l'ange.|stand
L'ange touche la terre avec sa palme, et fait jaillir à l'instant une source abondante.|touch
Après un moment de silence.|silence
Elle tombe.|fall
Le Théâtre représente un Salon.|decor
Il tire ses lunettes, et lit.|read
Ophémon, après avoir lu.|read
Il sort.|exit
Rosalie et Picard sortent.|exit
Elles sortent.|exit
Il sort.|exit
À part.|aparte
À part.|aparte
Haut.|loud
Elle sort.|exit
Il lit.|read
Rendant la lettre.|give
À part.|aparte
Haut.|loud
Il sort.|exit
Rosalie sort.|exit
On entend une symphonie douce et éloignée.|music
Elles sortent.|exit
Aux Villageois.|toward
Les Villageois s'éloignent.|away
Le Vicomte, s'approche et voyant Léontine parée du bouquet, il fait un geste de joie qu'elle prend pour de la surprise.|closer
À Léontine.|toward
À Léontine.|toward
Ils sortent.|exit
Le théâtre change et représente le cabinet de Léontine.|decor
Il rit.|laugh
Il sort.|exit
À Léontine.|toward
Il lui prend la main, et lui tâte le pouls.|touch
Ils sortent.|exit
Elle sort.|exit
Ils sortent.|exit
Elle va ouvrir la porte.|open
Haut.|loud
À part.|aparte
Haut.|loud
Haut.|loud
Haut.|loud
Il se jette à ses pieds.|sit
À Dorothée.|toward
Il sort.|exit
Ils l'entourent tous ensemble.|closer
Aux Villageois.|toward
Félicie sort.|exit
Il sort.|exit
Elle sort.|exit
Marie sort.|exit
Elle se met à genoux aux pieds de Goton.|kneel
Elles se lèvent toutes.|stand
À Madame Aglebert.|toward
Jeannette la mène aux pieds de Milady.|closer
Elles sortent avec le père Antoine ; Goton etles trois petites filles les laissent passer.|exit
Elle fait quelles pas pour fuir.|away
Elle s'échappe.|escape
Il sort.|exit
Zirphée passe de l'autre côté de la scène.|away
À Zirphée.|toward
Haut.|loud
Elle lui prend le bras.|touch
Elle reprend le bras de Phanor.|touch
À part.|aparte
À part.|aparte
À part.|aparte
Elle sort.|exit
Elle s'assied.|sit
À part.|aparte
Haut.|loud
Il sort.|exit
Elle la pose sur une table.|drop
Zirphée, après avoir lu :|read
On entend un crescendo derrière le théâtre.|music
La musique continue.|music
Le théâtre change ; Phanor parait dans le fond, assis sur un trône ; son visage a repris ses premiers traits.)|decor
Elles se lèvent toutes.|stand
Elle sort.|exit
Madame Dufraigne va s'asseoir à la table pour travailler.|sit
Haut.|loud
Elle s'approche de la table.|closer
Elle sort.|exit
Elle sort.|exit
Ils sortent.|exit
Elle l'embrasse.|kiss
Haut.|loud
Elle sort.|exit
Elle lui prend les mains.|touch
Haut.|loud
Elle sort.|exit
Elle sort.|exit
Elle sort.|exit
Elles sortent.|exit
Elle tombe aux pieds de sa mère.|kneel
Elles sortent.|exit
Haut.|loud
À Émilie.|toward
Au comte d'Orsan.|toward
[À tous.]|toward
Le Théâtre représente un Salon.|decor
À Cléante.|toward
Il sort.|exit
Il sort.|exit
Haut.|loud
À Sophie.|toward
À part.|aparte
Elle sort.|exit
À Sophie.|toward
Elle sort.|exit
Elle sort.|exit
Le Laquais sort.|exit
À part.|aparte
Elle sort.|exit
Ils sortent.|exit
Elle regarde autour d'elle.|watch
À part.|aparte
Haut.|loud
Haut.|loud
Marton donne la clef.|give
Il sort.|exit
À part.|aparte
Il sort.|exit
Plus haut encore.|loud
À part.|aparte
Elle pleure.|cry
À part.|aparte
En pleurant.|cry
En pleurant toujours.|cry
À part.|aparte
À part.|aparte
À elle-même.|toward
Orphise paraît dans le fond du théâtre et dit :|entrance
Elle l'écoute.|listen
Elle écoute.|listen
Elle écoute.|listen
Il sort.|exit
Amélie, auprès d'un arbre, presse une colombe contre son sein ; Rosine tient une corbeille de fleurs, et considère sa soeur en rêvant : elle est appuyée sur un oranger que Colin arrose.|decor
Elle la baise.|kiss
Elle la baise encore et la caresse.|kiss
Colin sort avec sa colombe.|exit
Amélie et Zélis reviennent en se tenant sous le bras.|touch
À part.|aparte
Colin sort.|exit
Elle pleure.|cry
D'un ton moqueur.|ironic
À part.|aparte
Haut.|loud
Elle approche un banc.|closer
Elles restent un moment sans parler, jusqu'à ce qu'elles aient perdu de vue Pauline.|silence
Elle prend la lettre.|get
Elles s'embrassent.|kiss
Haut.|loud
Haut.|loud
À part.|aparte
Elle tire de sa poche une bourse.|get
Haut.|loud
Elle regarde à sa montre.|watch
Elles sortent.|exit
Elle lit tout haut.|read
Elle continue.|read
Elle sort.|exit
Haut.|loud
À part.|aparte
À Pauline.|toward
Elles sortent.|exit
Elles sortent.|exit
Rose survient un moment après.|entrance
Elle prend une main de Pauline.|touch
Elle pose la lanterne à terre, et essaie de soulever Pauline.|drop
Elle retombe sur le siège de gazon.|fall
Elle fait quelques pas.|walk
Elle regarde à sa montre.|watch
Elle sort.|exit
Elle sort.|exit
À Lucie.|toward
Elle sort avec Toinette.|exit
Elle sort.|exit
Elle sort.|exit
Haut.|loud
Elle sort.|exit
À Dorine.|toward
Elle cherche dans sa poche.|search
Elle cherche toujours.|search
Elle sort.|exit
Elle lit.|read
Elle sort.|exit
À part.|aparte
Haut.|loud
Elle sort.|exit
Elle sort.|exit
Haut.|loud
La fée lui donne le flacon.|give
Elle dresse le miroir sur la table.|decor
Elle se regarde dans le miroir.|watch
Elle s'y regarde encore.|watch
Elle prend les flacons couleur de rose.|get
Elles boivent toutes les deux.|drink
Haut.|loud
Elle sort.|exit
Zulmée sort.|exit
Elle lui donne la lettre.|give
Bienfaisante sort.|exit
Elle sort.|exit
Haut.|loud
Haut.|loud
Haut.|loud
Haut.|loud
Haut.|loud
À part.|aparte
Haut.|loud
Elles sortent.|exit
Elle sort.|exit
À part.|aparte
Les deux fées portent une couronne enrichie de diamants.|dress
Elles déposent la couronne sur une table.|drop
Zulmée sort.|exit
À Bienfaisante.|toward
Le valet, de de chambre sort.|exit
Laurette baise la main de sa mère, et sort.|kiss
Elle sort.|exit
Elles sortent.|exit
Elle sort.|exit
Elle sort.|exit
Elle sort.|exit
Elle veut sortir.|exit
Elle sort.|exit
Elle se jette à genoux.|kneel
Elle sort avec Lisette.|exit
Ici un grand silence.|silence
Après un silence.|silence
Justine sort.|exit
Elle sort.|exit
Un long silence.|silence
Toutes les jeunes filles rient, à l'exception de Justine.|laugh
Les jeunes filles recommencent à rire.|laugh
Elle l'embrasse.|kiss
Elles retournent à leur place.|sit
Toutes les jeunes filles se mettent à rire.|laugh
Elles tirent leurs mouchoirs.|get
Toutes les jeunes filles se lèvent.|stand
Justine sort.|exit
Annette et Marthe lui apportent un carton.|give
Elle lui présente un chapeau garni de fleurs et de plumes.|show
Elle va voir.|watch
Elle sort.|exit
Les jeunes filles viennent toutes auprès d'elle.|closer
Elle l'embrasse ; Isabelle lui baise la main.|kiss
Elle l'embrasse encore.|kiss
Elle lui donne la bourse.|give
Isabelle et Annette sortent.|exit
Joséphine et Marthe sortent.|exit
Le Théâtre représente un Salon, dans le fond duquel on voit une grande porte de glace donnant sur une terrasse.|decor
Au chevalier.|toward
Elle sort.|exit
Ils sont tous en habits du matin.|costume
À part.|aparte
En montrant Mélite.|show
Elle chante.|sing
Tout le monde sort. Aglaé reste un peu derrière avec le Chevalier. Elle lui dit :|exit
Ils sortent.|exit
Au laquais.|toward
Le Laquais découvre une robe garnie de fleurs.|show
Elle sort.|exit
Haut.|loud
Elle sort.|exit
Il sort.|exit
Elle tombe à ses pieds.|kneel
Elle l'embrasse.|kiss
Elles sortent.|exit
Aglaé s'avance.|closer
Elle sort.|exit
Elles s'asseyent l'une et l'autre.|sit
Haut.|loud
À part.|aparte
Haut.|loud
Il change de place, et Célanie se trouve entre eux deux.|location
Haut.|loud
Elle sort.|exit
Il sort.|exit
Haut.|loud
Elle sort.|exit
Elle sort.|exit
Il sort.|exit
Il sort.|exit
Émilie continue.|continue
Elle sort.|exit
Aglaé en pleurs, court se précipiter aux genoux de sa mère, qui la relève avec sévérité.|cry
Elle veut sortir.|exit
Elle sort.|exit
À Aglaé.|toward
À Aglaé.|toward
À Mélite.|toward
Avec ironie.|ironic
À Émilie.|toward
Elle sort.|exit
Mélite sort.|exit
Il sort.|exit
Elle sort.|exit
Haut.|loud
Elle sort.|exit
Haut.|loud
À part, en s'en allant.|aparte
Il sort.|exit
Il lit.|read
Il lit.|read
Il sort.|exit
Elle se remet à écrire, en disant :|write
Haut.|loud
Elle veut sortir.|away
Elle veut sortir.|exit
À Mélite.|toward
À Émilie et au Marquis.|toward
Au Marquis.|toward
Sophar rentre dans la maison.|exit
Il va au devant de Tobie.|closer
Elle sort.|exit
Il sort.|exit
On entend un grand bruit du côté de la maison.|noise
Il se heurte contre un arbre.|hit
Il fait quelques pas.|walk
Les trois prétendantes doivent être vêtues de blanc|costume
Elles sortent.|exit
Elle crie :|shout
Elle sort.|exit
Il lit.|read
Il regarde à sa montre.|watch
Il lui prend la main.|get
Madame Dumond et le prieur sortent. Hélène va leur ouvrir la porte, et leur fait plusieurs révérences, que Madame Dumond lui rend après l'avoir embrassée. Pendant ce temps Monique reste seule sur le devant du théâtre.|narration
Elles sortent.|exit
Elle crie de toute sa force.|shout
À part.|aparte
D'un ton sévère.|serious
Hélène, se soulevant.|stand
Elle retombe.|fall
Elle sort.|exit
Elle sort.|exit
On entend appeler derrière le théâtre.|listen
Haut.|loud
Monique et Geneviève l'embrassent.|kiss
On entend une musique champêtre dans le lointain.|music
Il lui donnent le bras. Le seigneur, le prieur et le bailli s'avancent.|touch
Il s'approche d'elle et lui présente la main ; Hélène fait la révérence, et s'appuie sur son bras.|closer
Le Seigneur, conduisant la rosière passe devant ; ensuite Monique, soutenue par Geneviève, Basile et Thérèse. Le prieur et le bailli vont sur la même ligne ; les jeunes filles après ; les curieux, les dames étrangères et les ménétriers ferment la marche. Aussitôt que la marche commence, les ménétriers jouent un air champêtre. Madame Dumond et Mimi restent les dernières. Tout le monde sort, à l'exception de Madame Dumond et de Mimi.|narration
Elles sortent.|exit
Il s'avance vers Booz.|closer
Il fait un mouvement pour s'éloigner.|away
Jéphoné s'éloigne.|away
À part.|aparte
Il sort.|exit
Haut.|loud
À part.|aparte
Il sort.|exit
Il s'approche.|closer
Elle se rapproche de Jéphoné.|closer
Il sort.|exit
Elle fait quelques pas pour s'en aller.|away
Elles sortent.|exit
Il sort.|exit
À part.|aparte
Il sort.|exit
Il sort.|exit
Elle tombe aux genoux de Noémi.|kneel
Elle élève les mains vers le ciel.|pray
L'Abbé sort.|exit
Haut.|loud
Elle sort.|exit
La Marquise arrive.|entrance
Elle veut sortir.|exit
Elle sort.|exit
Il sort.|exit
Elle s'assied.|sit
Elle tombe la tête appuyée sur ses mains.|fall
Il lit.|read
Elle se lève.|stand
Ils sortent.|exit
Elle sort.|exit
Victoire sort.|exit
Elle sort.|exit
Elle s'interrompt.|interrupt
L'Abbé amène plusieurs domestiques qui s'empressent.|help
Le Commandeur, l'Abbé, l'embrassent ; Victoire lui baise les mains.|kiss
Elle la prend.|get
Ils sortent.|exit
Haut.|loud
La veuve et l'enfant arrivent auprès de la cabane.|location
Elle l'embrasse.|kiss
Il s'appuie contre un arbre.|sit
Il entre dans la cabane.|exit
Elle écoute.|listen
Elle le regarde fixement.|watch
Le Théâtre représente un salon.|decor
Il sort.|exit
Il lit pendant que Roussel répond.|read
Roussel lui donne une tabatière.|give
Il sort.|exit
Il sort.|exit
Ils sortent.|exit
Il sort.|exit
L'Épine sort.|exit
À part.|aparte
Il s'éloigne et considère les tableaux, envaflectdnt toutes les manières d 'un connaisseur.|watch
Le Chevalier sort.|exit
Haut.|loud
Haut.|loud
Lui rendant la boîte.|give
Ils sortent.|exit
Regardant les fleurs.|watch
Il s'assoit.|sit
Il se lève.|stand
Il ouvre son portefeuille.|open
Il s'asseoit de nouveau.|sit
Il regarde sa montre.|watch
Reprenant.|continue
À voix basse.|low
Il frappe son chapeau sur un meuble.|hit
Il ajuste son col.|dress
À part.|aparte
À Arthur.|toward
Elle s'assoit.|sit
À part.|aparte
Au public.|toward
À part.|aparte
À mademoiselle Dupont.|toward
Au public.|toward
Poursuivant.|continue
À part.|aparte
À part.|aparte
À mademoiselle Dupont.|toward
À part.|aparte
À part.|aparte
Elle l'ouvre.|open
À Mademoiselle Dupont.|toward
À part.|aparte
Avec emphase.|emphasis
À part.|aparte
Haut.|loud
Au public.|toward
Il va pour sortir, puis se ravise.|exit
Diane paraît dans son char, et la Nuit dans le sien avec le choeur des Amours qui chantent cet air.|entrance
Elle parle à la Nuit.|toward
Elle s'en va.|exit
Darie s'en va.|exit
Il parle aux Satrapes.|toward
Elle s'adresse à Ninus.|toward
On emporte Sosarme.|push
Elle se veut jeter à genoux.|kneel
Il la pousse rudement.|push
Il met la main sur la garde de son épée.|threat
Il met la main à l'épée.|threat
Il dit bas ce vers.|low
Il met la main à l'épée.|threat
Bérénice se jette à ses pieds.|kneel
Elle se lève.|stand
Il ne dit que les deux premiers mots hautement.|low
Elle tire un poignard.|threat
Il se jette aux pieds de Statira.|kneel
Ramassant la casaque.|get
À Jodelet.|toward
Il porte sans y penser un coup dans l'estomac de Phénice, pour montrer comme il fit.|hit
Il laisse tomber son épée.|drop
Chanson.|title
Il montre le Campagnard.|show
À Bazile.|toward
SONNET.|title
Laurette paraît.|entrance
Au Compère.|toward
Polichinelle, continue à demander à Mademoiselle plusieurs sortes de drap, et elle continue à lui répondre :|toward
Janbroche revient de son voyage, et demande au compère ce qui s'est passé chez lui durant son absence.|entrance
Il s'éloigne.|away
Le Président s'assied au Deux.|sit
Les gitanes s'en vont, chassées par Victor.|away
Elle a assemblé dans le petit sac tous les bijoux.|get
La dame s'éloigne.|away
Elle s'éloigne ostensiblement.|away
Elle s'en va définitivement.|away
Elle revient sur ses pas.|back
Elle redonne le sac au Président.|give
Entrent également Bogar, Saint-Ysles.|entrance
Bruit de chute.|noise
Bruit 8ourd.|noise
Sons indistincts.|noise
Il s'accroche à un des rosiers de l'Ecole des Femmes.|touch
Jouvet bouscule sans le vouloir Robineau.|push
Murmures chez les acteurs.|low
À Castel.|toward
Entrent Madeleine Ozeray et Raymone.|entrance
Il disparaît.|exit
Une cabane de Pécheurs. Orage au dehors.|decor
La fenêtre s'est ouverte brusquement.|open
Une tête de vieillard couronnée, à barbe ruisselante, est apparue dans l'encadrement, à la lueur d'un éclair.|entrance
Coup de tonnerre.|meteo
Coup de tonnerre.|meteo
Pas de coup de tonnerre.|meteo
Il tire le verrou.|close
Auguste et Eugénie se retournent au fracas. Un chevalier en armure est sur le seuil.|exit
Eugénie revient avec son plat.|entrance
Elle l'évite d'un bond.|jump
Elle disparaît dans la nuit.|exit
Eugénie sort.|exit
Auguste la rejoint.|closer
Le Chevalier soudain conquis ouvre ses bras.|open
Bruit à la porte de la cuisine.|noise
Elle disparaît.|exit
Le chevalier rentre, ruisselant.|entrance
Il s'étend dans le fauteuil.|sit
Nouvelle apparition.|entrance
Une seconde Ondine s'est rangée près de l'autre.|closer
L'Ondine disparaît.|exit
Salle d'honneur dans le Palais du Roi.|decor
Le cheval de Troie entre. Les Pyramides se dressent.|decor
Vénus toute nue surgit près du chambellan.|entrance
Vénus a disparu.|exit
Tous rentrent derrière les colonnes.|entrance
Toutes les dames regardent soudain le visage du Chambellan.|watch
Ils entrent d'un pas dégagé l'un du jardin, l'autre de la cour.|entrance
Ils sortent ensemble.|exit
Ils disparaissent.|exit
Elle va vers le poète qui se tenait à l'écart et qui vient au devant d'elle.|closer
Elle va à nouveau vers le poète qui lui aussi va vers elle.|closer
Elle revient près du chambellan.|closer
Hans paraît.|entrance
Rires.|laugh
Ondine s'est dirigée vers Bertha.|closer
Tous sortent moins la Reine et Ondine.|exit
SPECTACLE.|title
Auguste et Eugénie sont debout au fond de la salle. Des couronnes d'or semblent se poser sur leur tête, quand Ondine parle de leur royauté.|stand
Le chevalier revient sur Ondine.|back
Il sort. Tous les jets d'eau autour de la salle s'élèvent subitement.|exit
À un serviteur.|toward
Bertram surgit.|entrance
Il l'embrasse.|kiss
Les juges se sont levés.|stand
Il désigne le roi des Ondines.|show
Un salon. Grande table au centre sur laquelle sont posés des albums des volumes, des brochures, etc., une carafe et un verre d'eau. À droite et à gauche, meubles et sièges de salon.|decor
Au lever de rideau, LE PROFESSEUR est assis devant la table et feuillette fiévreusement quelques pages volantes qu'il tient à la main. - Il demeure quelques instants sans parler, puis se lève avec une majestueuse lenteur, vient se placer devant la rampe et fait les saluts d'usage. - Il est ou tenue de soirée, cravate et gants blancs. Ton solennel et pédantesque. - Tête et voix de prud'homme.|narration
Il boit.|drink
À une dame.|toward
